"ID","参照記号","パッケージ","数","名称","Supplier and ref",
1,"D1","generic-LED1608",1,"LED",,,
2,"P1,P2","pinhead-1X08",2,"CONN_01X08",,,
3,"SW1","SKRPACE010",1,"SW_Push",,,
4,"P3","GROVE",1,"CONN_01X04",,,
5,"U1","AMW037",1,"AMW037",,,
6,"C1","C_0805_2012Metric",1,"10u",,,
7,"C3","C_0603_1608Metric",1,"0.1u",,,
8,"R2","R_0603_1608Metric",1,"1k",,,
9,"R8","R_0603_1608Metric",1,"20k",,,
